SyncFrame,Camera,Part,X,Y
16063,oppo,右手首,439.0,531.0
16063,oppo2,右手首,532.5,417.5
16063,oppo,右肘,389.0,510.5
16063,oppo2,右肘,443.0,378.0
16063,oppo,右肩,421.0,463.5
16063,oppo2,右肩,502.5,247.5
16063,oppo,右腰,424.5,548.0
16063,oppo1,右腰,1278.0,517.5
16063,oppo2,右腰,383.5,466.0
16063,oppo,右膝,446.5,683.0
16063,oppo2,右膝,425.5,774.5
16063,oppo,右足首,427.5,739.5
16063,oppo2,右足首,300.0,952.5
16063,oppo1,左手首,1342.5,506.0
16063,pixel,左手首,1644.0,372.0
16063,oppo1,左肘,1380.5,459.5
16063,pixel,左肘,1731.5,274.0
16063,oppo1,左肩,1353.5,422.0
16063,pixel,左肩,1649.5,204.0
16063,oppo,左腰,493.0,546.5
16063,pixel,左腰,1735.5,394.0
16063,oppo1,左膝,1296.0,649.5
16063,pixel,左膝,1643.0,644.5
16063,oppo1,左足首,1334.5,672.0
16063,pixel,左足首,1834.5,681.0
16064,oppo,右手首,444.0,528.0
16064,oppo2,右手首,548.5,408.5
16064,oppo,右肘,393.0,509.5
16064,oppo2,右肘,463.0,374.0
16064,oppo,右肩,424.0,461.5
16064,oppo2,右肩,517.5,242.5
16064,oppo,右腰,427.5,547.0
16064,oppo1,右腰,1275.0,516.5
16064,oppo2,右腰,398.5,464.0
16064,oppo,右膝,447.5,684.0
16064,oppo2,右膝,426.5,775.5
16064,oppo,右足首,427.5,738.5
16064,oppo2,右足首,301.0,950.5
16064,oppo1,左手首,1342.5,504.0
16064,pixel,左手首,1637.0,369.0
16064,oppo1,左肘,1379.0,457.0
16064,pixel,左肘,1723.5,271.0
16064,oppo1,左肩,1352.5,420.0
16064,pixel,左肩,1639.5,204.0
16064,oppo,左腰,496.0,545.5
16064,pixel,左腰,1722.5,393.0
16064,oppo1,左膝,1290.0,645.5
16064,pixel,左膝,1622.0,638.5
16064,oppo1,左足首,1329.5,674.0
16064,pixel,左足首,1810.5,681.0
16065,oppo,右手首,450.0,525.0
16065,oppo2,右手首,563.5,398.5
16065,oppo,右肘,398.0,507.5
16065,oppo2,右肘,482.0,369.0
16065,oppo,右肩,429.0,459.5
16065,oppo2,右肩,532.5,238.5
16065,oppo,右腰,430.5,547.0
16065,oppo1,右腰,1272.0,515.5
16065,oppo2,右腰,413.5,461.0
16065,oppo,右膝,447.5,684.0
16065,oppo2,右膝,428.5,775.5
16065,oppo,右足首,427.5,738.5
16065,oppo2,右足首,303.0,948.5
16065,oppo1,左手首,1342.5,502.0
16065,pixel,左手首,1630.0,368.0
16065,oppo1,左肘,1376.5,453.5
16065,pixel,左肘,1715.5,268.0
16065,oppo1,左肩,1350.5,418.0
16065,pixel,左肩,1629.5,203.0
16065,oppo,左腰,499.0,543.5
16065,pixel,左腰,1708.5,392.0
16065,oppo1,左膝,1286.0,642.5
16065,pixel,左膝,1601.0,629.5
16065,oppo1,左足首,1323.5,676.0
16065,pixel,左足首,1785.5,682.0
16066,oppo,右手首,455.0,521.0
16066,oppo2,右手首,577.5,388.5
16066,oppo,右肘,402.0,506.5
16066,oppo2,右肘,499.5,364.0
16066,oppo,右肩,434.0,456.5
16066,oppo2,右肩,547.5,234.5
16066,oppo,右腰,434.5,546.0
16066,oppo1,右腰,1269.0,515.5
16066,oppo2,右腰,429.5,457.0
16066,oppo,右膝,449.5,683.0
16066,oppo2,右膝,432.5,773.5
16066,oppo,右足首,428.5,737.5
16066,oppo2,右足首,305.0,944.5
16066,oppo1,左手首,1341.0,498.5
16066,pixel,左手首,1624.0,365.0
16066,oppo1,左肘,1375.5,451.5
16066,pixel,左肘,1706.5,264.0
16066,oppo1,左肩,1349.5,415.0
16066,pixel,左肩,1619.5,201.0
16066,oppo,左腰,503.0,542.5
16066,pixel,左腰,1694.5,390.0
16066,oppo1,左膝,1281.0,637.5
16066,pixel,左膝,1580.0,621.5
16066,oppo1,左足首,1317.5,677.0
16066,pixel,左足首,1752.0,679.0
16067,oppo,右手首,460.0,517.0
16067,oppo2,右手首,592.5,378.5
16067,oppo,右肘,406.0,503.5
16067,oppo2,右肘,517.5,359.0
16067,oppo,右肩,439.0,455.5
16067,oppo2,右肩,563.5,230.5
16067,oppo,右腰,438.5,545.0
16067,oppo1,右腰,1265.0,513.5
16067,oppo2,右腰,445.5,453.0
16067,oppo,右膝,451.5,683.0
16067,oppo2,右膝,437.0,769.0
16067,oppo,右足首,428.5,736.5
16067,oppo2,右足首,309.0,940.5
16067,oppo1,左手首,1341.0,496.5
16067,pixel,左手首,1615.0,361.0
